,Kraj,Sprzedawca,Data zamowienia,idZamowienia,Utarg
580,Polska,Dudek,2005-02-04,10828,932.0
581,Polska,Dudek,2005-01-23,10829,1764.0
582,Niemcy,Peacock,2005-01-21,10830,1974.0
583,Niemcy,Leverling,2005-01-23,10831,2684.4
584,Niemcy,Fuller,2005-01-19,10832,475.11
585,Polska,Sowiński,2005-01-23,10833,906.93
586,Niemcy,Davolio,2005-01-19,10834,1432.71
587,Niemcy,Davolio,2005-01-21,10835,845.8
588,Polska,King,2005-01-21,10836,4705.5
589,Polska,Dudek,2005-01-23,10837,1064.5
590,Niemcy,Leverling,2005-01-23,10838,1938.38
591,Niemcy,Leverling,2005-01-22,10839,827.55
592,Niemcy,Peacock,2005-02-16,10840,211.2
593,Polska,Kowalski,2005-01-29,10841,4581.0
594,Niemcy,Davolio,2005-01-29,10842,975.0
595,Niemcy,Peacock,2005-01-26,10843,159.0
596,Niemcy,Callahan,2005-01-26,10844,735.0
597,Niemcy,Callahan,2005-01-30,10845,3812.7
598,Niemcy,Fuller,2005-01-23,10846,1112.0
599,Niemcy,Peacock,2005-02-10,10847,4931.92
600,Polska,King,2005-01-29,10848,931.5
601,Polska,Dudek,2005-01-30,10849,967.82
602,Niemcy,Davolio,2005-01-30,10850,629.0
603,Polska,Kowalski,2005-02-02,10851,2603.0
604,Niemcy,Callahan,2005-01-30,10852,2984.0
605,Polska,Dudek,2005-02-03,10853,625.0
606,Niemcy,Leverling,2005-02-05,10854,2966.5
607,Niemcy,Leverling,2005-02-04,10855,2227.89
608,Niemcy,Leverling,2005-02-10,10856,660.0
609,Niemcy,Callahan,2005-02-06,10857,2048.22
610,Niemcy,Fuller,2005-02-03,10858,649.0
611,Niemcy,Davolio,2005-02-02,10859,1078.69
612,Niemcy,Leverling,2005-02-04,10860,519.0
613,Niemcy,Peacock,2005-02-17,10861,3523.4
614,Niemcy,Callahan,2005-02-02,10862,581.0
615,Niemcy,Peacock,2005-02-17,10863,441.15
616,Niemcy,Peacock,2005-02-09,10864,282.0
617,Niemcy,Fuller,2005-02-12,10865,16387.5
618,Polska,Kowalski,2005-02-12,10866,1096.2
619,Polska,Sowiński,2005-02-11,10867,98.4
620,Polska,King,2005-02-23,10868,1920.6
621,Polska,Kowalski,2005-02-09,10869,1630.0
622,Polska,Kowalski,2005-02-13,10870,160.0
623,Polska,Dudek,2005-02-10,10871,1979.23
624,Polska,Kowalski,2005-02-09,10872,2058.46
625,Niemcy,Peacock,2005-02-09,10873,336.8
626,Polska,Kowalski,2005-02-11,10874,310.0
627,Niemcy,Peacock,2005-03-03,10875,709.55
628,Polska,King,2005-02-12,10876,917.0
629,Niemcy,Davolio,2005-02-19,10877,1955.13
630,Niemcy,Peacock,2005-02-12,10878,1539.0
631,Niemcy,Leverling,2005-02-12,10879,611.3
632,Polska,King,2005-02-18,10880,1500.0
633,Niemcy,Peacock,2005-02-18,10881,150.0
634,Niemcy,Peacock,2005-02-20,10882,892.64
635,Niemcy,Callahan,2005-02-20,10883,36.0
636,Niemcy,Peacock,2005-02-13,10884,1378.07
637,Polska,Sowiński,2005-02-18,10885,1209.0
638,Niemcy,Davolio,2005-03-02,10886,3127.5
639,Niemcy,Callahan,2005-02-16,10887,70.0
640,Niemcy,Davolio,2005-02-23,10888,605.0
641,Polska,Dudek,2005-02-23,10889,11380.0
642,Polska,King,2005-02-18,10890,860.1
643,Polska,King,2005-02-19,10891,368.93
644,Niemcy,Peacock,2005-02-19,10892,2090.0
645,Polska,Dudek,2005-02-20,10893,5502.11
646,Niemcy,Davolio,2005-02-20,10894,2753.1
647,Niemcy,Leverling,2005-02-23,10895,6379.4
648,Polska,King,2005-02-27,10896,750.5
649,Niemcy,Leverling,2005-02-25,10897,10835.24
650,Niemcy,Peacock,2005-03-06,10898,30.0
651,Polska,Kowalski,2005-02-26,10899,122.4
652,Niemcy,Davolio,2005-03-04,10900,33.75
653,Niemcy,Peacock,2005-02-26,10901,934.5
654,Niemcy,Davolio,2005-03-03,10902,863.43
655,Niemcy,Leverling,2005-03-04,10903,932.05
656,Niemcy,Leverling,2005-02-27,10904,1924.25
657,Polska,Dudek,2005-03-06,10905,342.0
658,Niemcy,Peacock,2005-03-03,10906,427.5
659,Polska,Sowiński,2005-02-27,10907,108.5
660,Niemcy,Peacock,2005-03-06,10908,663.1
661,Niemcy,Davolio,2005-03-10,10909,670.0
662,Niemcy,Davolio,2005-03-04,10910,452.9
663,Niemcy,Leverling,2005-03-05,10911,858.0
664,Niemcy,Fuller,2005-03-18,10912,6200.55
665,Niemcy,Peacock,2005-03-04,10913,768.75
666,Polska,Sowiński,2005-03-02,10914,537.5
667,Niemcy,Fuller,2005-03-02,10915,539.5
668,Niemcy,Davolio,2005-03-09,10916,686.7
669,Niemcy,Peacock,2005-03-11,10917,365.89
670,Niemcy,Leverling,2005-03-11,10918,1447.5
671,Niemcy,Fuller,2005-03-04,10919,1122.8
672,Niemcy,Peacock,2005-03-09,10920,390.0
673,Niemcy,Davolio,2005-03-09,10921,1936.0
674,Polska,Kowalski,2005-03-05,10922,742.5
675,Polska,King,2005-03-13,10923,748.8
676,Niemcy,Leverling,2005-04-08,10924,1835.7
677,Niemcy,Leverling,2005-03-13,10925,475.15
678,Niemcy,Peacock,2005-03-11,10926,514.4
679,Niemcy,Peacock,2005-04-08,10927,800.0
680,Niemcy,Davolio,2005-03-18,10928,137.5
681,Polska,Sowiński,2005-03-12,10929,1174.75
682,Niemcy,Peacock,2005-03-18,10930,2255.5
683,Niemcy,Peacock,2005-03-19,10931,799.2
684,Niemcy,Callahan,2005-03-24,10932,1788.63
685,Polska,Sowiński,2005-03-16,10933,920.6
686,Niemcy,Leverling,2005-03-12,10934,500.0
687,Niemcy,Peacock,2005-03-18,10935,619.5
688,Niemcy,Leverling,2005-03-18,10936,456.0
689,Polska,King,2005-03-13,10937,644.8
690,Niemcy,Leverling,2005-03-16,10938,2731.87
691,Niemcy,Fuller,2005-03-13,10939,637.5
692,Niemcy,Callahan,2005-03-23,10940,360.0
693,Polska,King,2005-03-20,10941,4011.75
694,Polska,Dudek,2005-03-18,10942,560.0
695,Niemcy,Peacock,2005-03-19,10943,711.0
696,Polska,Sowiński,2005-03-13,10944,1025.33
697,Niemcy,Peacock,2005-03-18,10945,245.0
698,Niemcy,Davolio,2005-03-19,10946,1407.5
699,Niemcy,Leverling,2005-03-16,10947,220.0
700,Niemcy,Leverling,2005-03-19,10948,2362.25
701,Niemcy,Fuller,2005-03-17,10949,4422.0
702,Niemcy,Davolio,2005-03-23,10950,110.0
703,Polska,Dudek,2005-04-07,10951,458.74
704,Niemcy,Davolio,2005-03-24,10952,471.2
705,Polska,Dudek,2005-03-25,10953,4441.25
706,Polska,Kowalski,2005-03-20,10954,1659.53
707,Niemcy,Callahan,2005-03-20,10955,74.4
708,Polska,Sowiński,2005-03-20,10956,677.0
709,Niemcy,Callahan,2005-03-27,10957,1762.7
710,Polska,King,2005-03-27,10958,781.0
711,Polska,Sowiński,2005-03-23,10959,131.75
712,Niemcy,Leverling,2005-04-08,10960,265.35
713,Niemcy,Callahan,2005-03-30,10961,1119.9
714,Niemcy,Callahan,2005-03-23,10962,3584.0
715,Polska,Dudek,2005-03-26,10963,57.8
716,Niemcy,Leverling,2005-03-24,10964,2052.5
717,Polska,Sowiński,2005-03-30,10965,848.0
718,Niemcy,Peacock,2005-04-08,10966,1098.46
719,Niemcy,Fuller,2005-04-02,10967,910.4
720,Niemcy,Davolio,2005-04-01,10968,1408.0
721,Niemcy,Davolio,2005-03-30,10969,108.0
722,Polska,Dudek,2005-04-24,10970,224.0
723,Niemcy,Fuller,2005-04-02,10971,1733.06
724,Niemcy,Peacock,2005-03-26,10972,251.5
725,Polska,Sowiński,2005-03-27,10973,291.55
726,Niemcy,Leverling,2005-04-03,10974,439.0
727,Niemcy,Davolio,2005-03-27,10975,717.5
728,Niemcy,Davolio,2005-04-03,10976,912.0
729,Niemcy,Callahan,2005-04-10,10977,2233.0
730,Polska,Dudek,2005-04-23,10978,1303.19
731,Niemcy,Callahan,2005-03-31,10979,4813.5
732,Niemcy,Peacock,2005-04-17,10980,248.0
733,Niemcy,Davolio,2005-04-02,10981,15810.0
734,Niemcy,Fuller,2005-04-08,10982,1014.0
735,Niemcy,Fuller,2005-04-06,10983,720.9
736,Niemcy,Davolio,2005-04-03,10984,1809.75
737,Niemcy,Fuller,2005-04-02,10985,2023.38
738,Niemcy,Callahan,2005-04-21,10986,2220.0
739,Niemcy,Callahan,2005-04-06,10987,2772.0
740,Niemcy,Leverling,2005-04-10,10988,3574.8
741,Niemcy,Fuller,2005-04-02,10989,1353.6
742,Niemcy,Fuller,2005-04-07,10990,4288.85
743,Niemcy,Davolio,2005-04-07,10991,2296.0
744,Niemcy,Davolio,2005-04-03,10992,69.6
745,Polska,King,2005-04-10,10993,4895.44
746,Niemcy,Fuller,2005-04-09,10994,940.5
747,Niemcy,Davolio,2005-04-06,10995,1196.0
748,Niemcy,Peacock,2005-04-10,10996,560.0
749,Niemcy,Callahan,2005-04-13,10997,1885.0
750,Niemcy,Callahan,2005-04-17,10998,686.0
751,Polska,Sowiński,2005-04-10,10999,1197.95
752,Niemcy,Fuller,2005-04-14,11000,903.75
753,Niemcy,Fuller,2005-04-14,11001,2769.0
754,Niemcy,Peacock,2005-04-16,11002,1811.1
755,Niemcy,Leverling,2005-04-08,11003,326.0
756,Niemcy,Leverling,2005-04-20,11004,295.38
757,Niemcy,Fuller,2005-04-10,11005,586.0
758,Niemcy,Leverling,2005-04-15,11006,329.69
759,Niemcy,Callahan,2005-04-13,11007,2633.9
760,Niemcy,Fuller,2005-04-10,11009,616.5
761,Niemcy,Fuller,2005-04-21,11010,645.0
762,Niemcy,Leverling,2005-04-13,11011,933.5
763,Niemcy,Davolio,2005-04-17,11012,2825.3
764,Niemcy,Fuller,2005-04-10,11013,361.0
765,Niemcy,Fuller,2005-04-15,11014,243.18
766,Niemcy,Fuller,2005-04-20,11015,622.35
767,Polska,Dudek,2005-04-13,11016,491.5
768,Polska,Dudek,2005-04-20,11017,6750.0
769,Niemcy,Peacock,2005-04-16,11018,1575.0
770,Niemcy,Fuller,2005-04-16,11020,632.4
771,Niemcy,Leverling,2005-04-21,11021,6306.24
772,Niemcy,Davolio,2005-04-24,11023,1500.0
773,Niemcy,Peacock,2005-04-20,11024,1966.81
774,Polska,Sowiński,2005-04-24,11025,270.0
775,Niemcy,Peacock,2005-04-28,11026,1030.0
776,Niemcy,Davolio,2005-04-20,11027,877.72
777,Niemcy,Fuller,2005-04-22,11028,2160.0
778,Niemcy,Peacock,2005-04-27,11029,1286.8
779,Polska,King,2005-04-27,11030,12615.05
780,Polska,Sowiński,2005-04-24,11031,2393.5
781,Niemcy,Fuller,2005-04-23,11032,8902.5
782,Polska,King,2005-04-23,11033,3232.8
783,Niemcy,Callahan,2005-04-27,11034,539.4
784,Niemcy,Fuller,2005-04-24,11035,1754.5
785,Niemcy,Callahan,2005-04-22,11036,1692.0
786,Polska,King,2005-04-27,11037,60.0
787,Niemcy,Davolio,2005-04-30,11038,732.6
788,Niemcy,Leverling,2005-04-28,11041,1773.0
789,Niemcy,Fuller,2005-05-01,11042,405.75
790,Polska,Kowalski,2005-04-29,11043,210.0
791,Niemcy,Peacock,2005-05-01,11044,591.6
792,Niemcy,Callahan,2005-04-24,11046,1485.8
793,Polska,King,2005-05-01,11047,817.87
794,Polska,King,2005-04-30,11048,525.0
795,Niemcy,Leverling,2005-05-01,11052,1332.0
796,Niemcy,Fuller,2005-04-29,11053,3055.0
797,Niemcy,Callahan,2005-05-01,11056,3740.0
798,Niemcy,Leverling,2005-05-01,11057,45.0
